resource_id,resource_name,resource_type,region,metadata,Environment,Project,Owner
res-001,CloudWatch-1,CloudFront,eu-west-1,Metadata info 1,Dev,Starforce,Stark
res-002,RDS-2,CloudWatch,us-west-2,Metadata info 2,Test,Hydra,Banner
res-003,DynamoDB-3,S3,us-west-2,Metadata info 3,Dev,Avengers,Banner
res-004,CloudFront-4,RDS,eu-west-1,Metadata info 4,Prod,Starforce,Murdock
res-005,ECS-5,CloudWatch,ap-southeast-1,Metadata info 5,Dev,Starforce,Murdock
res-006,ECS-6,RDS,us-east-1,Metadata info 6,,SHIELD,Stark
res-007,Lambda-7,ECS,eu-west-1,Metadata info 7,Test,Hydra,Murdock
res-008,Lambda-8,CloudFront,us-east-1,Metadata info 8,,Starforce,
res-009,EC2-9,ECS,us-west-2,Metadata info 9,,,
res-010,DynamoDB-10,Lambda,us-west-2,Metadata info 10,,,Banner
res-011,S3-11,DynamoDB,ap-southeast-1,Metadata info 11,Test,SHIELD,Danvers
res-012,RDS-12,RDS,us-east-1,Metadata info 12,Prod,Hydra,Castle
res-013,CloudFront-13,EC2,eu-west-1,Metadata info 13,Test,,Banner
res-014,CloudWatch-14,CloudFront,eu-west-1,Metadata info 14,Prod,Avengers,Danvers
res-015,DynamoDB-15,CloudWatch,us-west-2,Metadata info 15,Dev,Hydra,Stark
res-016,RDS-16,ECS,ap-southeast-1,Metadata info 16,Dev,Hydra,Murdock
res-017,Lambda-17,Lambda,eu-west-1,Metadata info 17,Dev,Hydra,
res-018,CloudFront-18,EC2,us-east-1,Metadata info 18,Prod,SHIELD,Stark
res-019,Lambda-19,ECS,us-east-1,Metadata info 19,,Hydra,Banner
res-020,Lambda-20,S3,eu-west-1,Metadata info 20,Test,Avengers,Stark
res-021,EC2-21,EC2,ap-southeast-1,Metadata info 21,Dev,,Castle
res-022,ECS-22,CloudWatch,us-west-2,Metadata info 22,Test,,Stark
res-023,ECS-23,RDS,us-west-2,Metadata info 23,Prod,Hydra,Danvers
res-024,DynamoDB-24,RDS,ap-southeast-1,Metadata info 24,Test,Starforce,Banner
res-025,S3-25,S3,eu-west-1,Metadata info 25,,Hydra,Murdock
res-026,EC2-26,CloudFront,us-east-1,Metadata info 26,Test,,Stark
res-027,RDS-27,EC2,ap-southeast-1,Metadata info 27,Test,Starforce,Danvers
res-028,Lambda-28,CloudWatch,eu-west-1,Metadata info 28,,,Banner
res-029,CloudFront-29,CloudFront,eu-west-1,Metadata info 29,Prod,Avengers,Danvers
res-030,EC2-30,S3,ap-southeast-1,Metadata info 30,Test,Starforce,Castle
res-031,ECS-31,Lambda,eu-west-1,Metadata info 31,Prod,Hydra,Murdock
res-032,EC2-32,EC2,eu-west-1,Metadata info 32,Prod,,Danvers
res-033,ECS-33,DynamoDB,us-west-2,Metadata info 33,,Avengers,Banner
res-034,RDS-34,DynamoDB,eu-west-1,Metadata info 34,,SHIELD,
res-035,CloudWatch-35,Lambda,us-west-2,Metadata info 35,Prod,Starforce,Stark
res-036,RDS-36,CloudWatch,us-east-1,Metadata info 36,Prod,Avengers,
res-037,CloudFront-37,ECS,us-east-1,Metadata info 37,Prod,Starforce,
res-038,ECS-38,ECS,ap-southeast-1,Metadata info 38,Test,SHIELD,Murdock
res-039,RDS-39,EC2,us-east-1,Metadata info 39,Prod,Avengers,Murdock
res-040,S3-40,CloudFront,eu-west-1,Metadata info 40,Test,,Castle
res-041,S3-41,EC2,us-west-2,Metadata info 41,Prod,Hydra,Stark
res-042,CloudFront-42,Lambda,us-east-1,Metadata info 42,,Starforce,Danvers
res-043,DynamoDB-43,ECS,us-east-1,Metadata info 43,Prod,SHIELD,Murdock
res-044,EC2-44,EC2,us-east-1,Metadata info 44,,SHIELD,Stark
res-045,Lambda-45,RDS,us-east-1,Metadata info 45,Test,Starforce,Banner
res-046,Lambda-46,DynamoDB,ap-southeast-1,Metadata info 46,Prod,SHIELD,Banner
res-047,RDS-47,EC2,us-east-1,Metadata info 47,Dev,SHIELD,Stark
res-048,ECS-48,Lambda,eu-west-1,Metadata info 48,Prod,Hydra,
res-049,CloudWatch-49,CloudWatch,us-west-2,Metadata info 49,,,Banner
res-050,S3-50,S3,us-west-2,Metadata info 50,,Starforce,Danvers
res-051,S3-51,ECS,us-west-2,Metadata info 51,Prod,Avengers,Banner
res-052,ECS-52,CloudWatch,us-west-2,Metadata info 52,Test,,Banner
res-053,EC2-53,ECS,ap-southeast-1,Metadata info 53,,SHIELD,Banner
res-054,Lambda-54,EC2,us-east-1,Metadata info 54,Test,Starforce,Castle
res-055,Lambda-55,ECS,us-west-2,Metadata info 55,Prod,Hydra,Castle
res-056,EC2-56,DynamoDB,ap-southeast-1,Metadata info 56,Prod,Avengers,Murdock
res-057,CloudFront-57,CloudWatch,eu-west-1,Metadata info 57,Prod,Starforce,
res-058,EC2-58,ECS,us-west-2,Metadata info 58,Prod,Hydra,
res-059,CloudFront-59,EC2,us-west-2,Metadata info 59,Prod,Starforce,Banner
res-060,EC2-60,ECS,us-east-1,Metadata info 60,Prod,SHIELD,
res-061,CloudFront-61,Lambda,ap-southeast-1,Metadata info 61,Prod,Avengers,Castle
res-062,EC2-62,ECS,ap-southeast-1,Metadata info 62,Prod,SHIELD,Castle
res-063,CloudFront-63,S3,us-west-2,Metadata info 63,Test,Starforce,Banner
res-064,S3-64,CloudWatch,us-west-2,Metadata info 64,Test,Hydra,Castle
res-065,ECS-65,S3,us-east-1,Metadata info 65,,,Murdock
res-066,S3-66,CloudWatch,eu-west-1,Metadata info 66,Prod,,Danvers
res-067,CloudWatch-67,ECS,ap-southeast-1,Metadata info 67,Dev,SHIELD,Banner
res-068,S3-68,EC2,ap-southeast-1,Metadata info 68,Prod,Hydra,Murdock
res-069,Lambda-69,CloudWatch,us-west-2,Metadata info 69,Test,Avengers,Stark
res-070,RDS-70,S3,eu-west-1,Metadata info 70,Dev,Avengers,Stark
res-071,CloudWatch-71,ECS,ap-southeast-1,Metadata info 71,Dev,Hydra,Banner
res-072,DynamoDB-72,CloudFront,us-west-2,Metadata info 72,Test,Avengers,
res-073,ECS-73,RDS,us-west-2,Metadata info 73,Prod,Hydra,
res-074,DynamoDB-74,ECS,eu-west-1,Metadata info 74,Dev,Hydra,Banner
res-075,DynamoDB-75,DynamoDB,ap-southeast-1,Metadata info 75,Prod,Avengers,Castle
res-076,CloudWatch-76,RDS,eu-west-1,Metadata info 76,Dev,Avengers,Danvers
res-077,EC2-77,EC2,us-west-2,Metadata info 77,Dev,Starforce,Stark
res-078,RDS-78,CloudFront,us-east-1,Metadata info 78,Dev,Hydra,Murdock
res-079,Lambda-79,ECS,us-west-2,Metadata info 79,Dev,Hydra,Stark
res-080,Lambda-80,Lambda,us-east-1,Metadata info 80,Test,SHIELD,Murdock
res-081,DynamoDB-81,ECS,us-west-2,Metadata info 81,,SHIELD,Castle
res-082,CloudFront-82,ECS,us-west-2,Metadata info 82,Test,Avengers,Danvers
res-083,CloudFront-83,S3,eu-west-1,Metadata info 83,,Hydra,Stark
res-084,ECS-84,EC2,us-west-2,Metadata info 84,Dev,Hydra,Stark
res-085,ECS-85,DynamoDB,us-east-1,Metadata info 85,Dev,Avengers,Stark
res-086,CloudWatch-86,Lambda,us-west-2,Metadata info 86,Prod,SHIELD,Murdock
res-087,S3-87,ECS,eu-west-1,Metadata info 87,,Avengers,Stark
res-088,CloudFront-88,Lambda,us-east-1,Metadata info 88,Test,Hydra,Banner
res-089,S3-89,ECS,us-east-1,Metadata info 89,Test,,Castle
res-090,ECS-90,RDS,us-west-2,Metadata info 90,,,Castle
res-091,S3-91,RDS,eu-west-1,Metadata info 91,Prod,SHIELD,Murdock
res-092,EC2-92,S3,us-west-2,Metadata info 92,,,Banner
res-093,RDS-93,ECS,ap-southeast-1,Metadata info 93,Test,Avengers,Murdock
res-094,S3-94,RDS,ap-southeast-1,Metadata info 94,,SHIELD,Danvers
res-095,DynamoDB-95,CloudWatch,ap-southeast-1,Metadata info 95,Test,Starforce,
res-096,CloudWatch-96,DynamoDB,us-west-2,Metadata info 96,Prod,Starforce,Banner
res-097,ECS-97,CloudFront,us-east-1,Metadata info 97,Test,SHIELD,Stark
res-098,RDS-98,RDS,ap-southeast-1,Metadata info 98,,Hydra,Banner
res-099,S3-99,S3,us-east-1,Metadata info 99,Test,SHIELD,Stark
res-100,CloudWatch-100,DynamoDB,us-west-2,Metadata info 100,,SHIELD,Stark
res-101,DynamoDB-101,EC2,eu-west-1,Metadata info 101,,SHIELD,Murdock
res-102,EC2-102,RDS,us-west-2,Metadata info 102,Test,,Murdock
res-103,DynamoDB-103,DynamoDB,ap-southeast-1,Metadata info 103,Dev,,Banner
res-104,S3-104,ECS,eu-west-1,Metadata info 104,Dev,Hydra,
res-105,CloudFront-105,EC2,us-east-1,Metadata info 105,Test,Avengers,Castle
res-106,EC2-106,Lambda,us-west-2,Metadata info 106,,Starforce,Danvers
res-107,CloudFront-107,CloudFront,us-east-1,Metadata info 107,Dev,Starforce,Stark
res-108,S3-108,EC2,us-east-1,Metadata info 108,Prod,Starforce,Banner
res-109,Lambda-109,ECS,us-east-1,Metadata info 109,Prod,Avengers,
res-110,CloudFront-110,S3,us-west-2,Metadata info 110,Prod,,Banner
res-111,EC2-111,CloudFront,ap-southeast-1,Metadata info 111,Prod,Starforce,Stark
res-112,EC2-112,Lambda,us-west-2,Metadata info 112,Dev,Starforce,Castle
res-113,CloudWatch-113,S3,us-west-2,Metadata info 113,,,Stark
res-114,EC2-114,DynamoDB,ap-southeast-1,Metadata info 114,,Avengers,Danvers
res-115,CloudWatch-115,DynamoDB,us-east-1,Metadata info 115,Prod,,Murdock
res-116,CloudWatch-116,Lambda,eu-west-1,Metadata info 116,Test,,
res-117,CloudWatch-117,CloudFront,us-west-2,Metadata info 117,,SHIELD,Banner
res-118,RDS-118,EC2,ap-southeast-1,Metadata info 118,,Hydra,Castle
res-119,RDS-119,DynamoDB,ap-southeast-1,Metadata info 119,Test,Avengers,Danvers
res-120,S3-120,CloudFront,us-east-1,Metadata info 120,Dev,Starforce,Banner
res-121,Lambda-121,RDS,us-west-2,Metadata info 121,,Starforce,Banner
res-122,ECS-122,CloudWatch,ap-southeast-1,Metadata info 122,,,Banner
res-123,ECS-123,DynamoDB,ap-southeast-1,Metadata info 123,Prod,Starforce,
res-124,RDS-124,RDS,ap-southeast-1,Metadata info 124,,Avengers,
res-125,CloudWatch-125,CloudFront,ap-southeast-1,Metadata info 125,,Starforce,Banner
res-126,ECS-126,DynamoDB,eu-west-1,Metadata info 126,Test,Hydra,Castle
res-127,ECS-127,S3,eu-west-1,Metadata info 127,,Hydra,Castle
res-128,EC2-128,S3,eu-west-1,Metadata info 128,Prod,Starforce,
res-129,CloudFront-129,Lambda,us-east-1,Metadata info 129,,Hydra,
res-130,DynamoDB-130,S3,us-east-1,Metadata info 130,Test,SHIELD,Castle
res-131,CloudFront-131,ECS,us-west-2,Metadata info 131,Test,Starforce,Castle
res-132,EC2-132,DynamoDB,eu-west-1,Metadata info 132,,Starforce,Murdock
res-133,CloudFront-133,CloudFront,ap-southeast-1,Metadata info 133,Prod,Starforce,Murdock
res-134,ECS-134,DynamoDB,eu-west-1,Metadata info 134,Prod,Hydra,Banner
res-135,S3-135,DynamoDB,eu-west-1,Metadata info 135,Dev,Starforce,Danvers
res-136,ECS-136,DynamoDB,ap-southeast-1,Metadata info 136,,Starforce,Stark
res-137,DynamoDB-137,CloudWatch,us-west-2,Metadata info 137,Prod,SHIELD,
res-138,Lambda-138,S3,eu-west-1,Metadata info 138,Dev,SHIELD,Murdock
res-139,Lambda-139,DynamoDB,us-west-2,Metadata info 139,,,Banner
res-140,DynamoDB-140,S3,eu-west-1,Metadata info 140,Dev,SHIELD,Murdock
res-141,EC2-141,CloudFront,us-east-1,Metadata info 141,,SHIELD,Banner
res-142,Lambda-142,S3,us-west-2,Metadata info 142,Test,Avengers,
res-143,Lambda-143,CloudFront,ap-southeast-1,Metadata info 143,Test,,Danvers
